node_name,load_zone,source
PANDA_S_CT2,LZ_NORTH,Settlement_Points_03052026
PANDA_T1_CT1,LZ_NORTH,Settlement_Points_03052026
PANDA_T1_CT2,LZ_NORTH,Settlement_Points_03052026
PANDA_T1_ST1,LZ_NORTH,Settlement_Points_03052026
NACPW_UNIT1,LZ_NORTH,Settlement_Points_03052026
ELMCRK_RN,LZ_WEST,Settlement_Points_03052026
VISION_RN,LZ_NORTH,Settlement_Points_03052026
ELSA_ESR_RN,LZ_SOUTH,Settlement_Points_03052026
NOVA1SLR_ALL,LZ_WEST,Settlement_Points_03052026
PRSPERO2_ALL,LZ_WEST,Settlement_Points_03052026
ERSL_RN,LZ_SOUTH,Settlement_Points_03052026
ESCONDID_ESR,LZ_SOUTH,Settlement_Points_03052026
STWF_T1,LZ_WEST,Settlement_Points_03052026
ETCCS_CCU,LZ_NORTH,Settlement_Points_03052026
EVLN_ESS_RN,LZ_HOUSTON,Settlement_Points_03052026
EXN_4,LZ_HOUSTON,Settlement_Points_03052026
EXN_PUN1,LZ_HOUSTON,Settlement_Points_03052026
EXN_PUN2,LZ_HOUSTON,Settlement_Points_03052026
EXN_PUN3,LZ_HOUSTON,Settlement_Points_03052026
EXN_9_13,LZ_HOUSTON,Settlement_Points_03052026
EXN_8,LZ_HOUSTON,Settlement_Points_03052026
E_HARRIS_RN,LZ_SOUTH,Settlement_Points_03052026
EBNY_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
FAL_FALCONG2,LZ_SOUTH,Settlement_Points_03052026
FAL_FALCONG3,LZ_SOUTH,Settlement_Points_03052026
FALFUR_RN2,LZ_SOUTH,Settlement_Points_03052026
FALFUR_RN,LZ_SOUTH,Settlement_Points_03052026
SUNVASLR_ALL,LZ_NORTH,Settlement_Points_03052026
FOARDCTY_ALL,LZ_WEST,Settlement_Points_03052026
FERD_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
FIVEWSLR_ALL,LZ_NORTH,Settlement_Points_03052026
FLOWERII_RN,LZ_WEST,Settlement_Points_03052026
FLCNS_UNIT1,LZ_WEST,Settlement_Points_03052026
FLCNS_UNIT2,LZ_WEST,Settlement_Points_03052026
FLCNS_UNIT3,LZ_WEST,Settlement_Points_03052026
FLTCK_SSI,LZ_NORTH,Settlement_Points_03052026
FORTMA_RN,LZ_SOUTH,Settlement_Points_03052026
